      2881 1.440500e-02     1.65758094134330101e+01
      2901 1.450500e-02     1.65603564311584996e+01
      2921 1.460500e-02     1.65751126269351907e+01
      2941 1.470500e-02     1.65686330097573666e+01
      2961 1.480500e-02     1.65157848731430406e+01
      2981 1.490500e-02     1.64870707135279453e+01
      3001 1.500500e-02     1.65712860712640051e+01
      3021 1.510500e-02     1.67947743306132544e+01
      3041 1.520500e-02     1.69508978466917739e+01
      3061 1.530500e-02     1.69690274782998571e+01
      3081 1.540500e-02     1.69071808075442078e+01
      3101 1.550500e-02     1.68663150872163392e+01
      3121 1.560500e-02     1.69245506635088816e+01
      3141 1.570500e-02     1.70353277247395845e+01
      3161 1.580500e-02     1.71610575815030018e+01
      3181 1.590500e-02     1.72009510109582564e+01
      3201 1.600500e-02     1.72097021913116031e+01
      3221 1.610500e-02     1.72134676119584498e+01
      3241 1.620500e-02     1.72334050404430954e+01
      3261 1.630500e-02     1.72814087466541970e+01
      3281 1.640500e-02     1.73901224567625654e+01
      3301 1.650500e-02     1.73721535039717985e+01
      3321 1.660500e-02     1.73450334519691260e+01
      3341 1.670500e-02     1.74571200342236565e+01
      3361 1.680500e-02     1.74022273897607676e+01
      3381 1.690500e-02     1.75202564863042838e+01
      3401 1.700500e-02     1.75695730500269214e+01
      3421 1.710500e-02     1.75283823048074439e+01
      3441 1.720500e-02     1.75948447469294003e+01
      3461 1.730500e-02     1.77114475779481637e+01
      3481 1.740500e-02     1.78649049034708369e+01
      3501 1.750500e-02     1.80110018131556657e+01
      3521 1.760500e-02     1.80684441178967532e+01
      3541 1.770500e-02     1.79900298584099012e+01
      3561 1.780500e-02     1.79070349410838112e+01
      3581 1.790500e-02     1.79352038463397250e+01
      3601 1.800500e-02     1.79981152435014096e+01
      3621 1.810500e-02     1.80830579818048029e+01
      3641 1.820500e-02     1.82082060065947893e+01
      3661 1.830500e-02     1.82373513388482564e+01
      3681 1.840500e-02     1.81482390043631518e+01
      3701 1.850500e-02     1.81237906446100574e+01
      3721 1.860500e-02     1.81422485471279025e+01
      3741 1.870500e-02     1.82796029466069214e+01
      3761 1.880500e-02     1.83991222967892014e+01
      3781 1.890500e-02     1.84918288384465583e+01
      3801 1.900500e-02     1.84981420717873632e+01
      3821 1.910500e-02     1.83754124905294027e+01
      3841 1.920500e-02     1.83005648147434705e+01
      3861 1.930500e-02     1.83378195032499747e+01
      3881 1.940500e-02     1.83536035969187346e+01
      3901 1.950500e-02     1.83834925417600701e+01
      3921 1.960500e-02     1.84901906072387021e+01
      3941 1.970500e-02     1.85544025011154083e+01
      3961 1.980500e-02     1.85426477143517801e+01
      3981 1.990500e-02     1.85854107176807730e+01
      4001 2.000500e-02     1.86451411994165639e+01
      4021 2.010500e-02     1.86606884783762865e+01
      4041 2.020500e-02     1.87159065984993411e+01
      4061 2.030500e-02     1.88009975257183335e+01
      4081 2.040500e-02     1.88135725720707256e+01
      4101 2.050500e-02     1.88195586849374656e+01
      4121 2.060500e-02     1.88726309450419194e+01
      4141 2.070500e-02     1.89430243302725678e+01
      4161 2.080500e-02     1.88932617550062432e+01
