x-coordinate,y-coordinate
4.715213743270927488e-02,2.015989723467193420e-02
4.712111200782113235e-02,2.023250657759628757e-02
4.708990921721578626e-02,2.030503968988112834e-02
4.705853323415579853e-02,2.037749826495963146e-02
4.702710626261970284e-02,2.044993466294374451e-02
4.699558915284088312e-02,2.052233185364762263e-02
4.696394405254887550e-02,2.059467323188889434e-02
4.693216847095535438e-02,2.066695737816393735e-02
4.690027849110879610e-02,2.073919113797121835e-02
4.686827871541451168e-02,2.081137630917148998e-02
4.683616924517623736e-02,2.088351275108765379e-02
4.680397244717464378e-02,2.095561027977049101e-02
4.677167637146802115e-02,2.102766336925864302e-02
4.673924685925579664e-02,2.109965651883566329e-02
4.670667999427327577e-02,2.117158762415773110e-02
4.667400084795745446e-02,2.124346780193212339e-02
4.664123749565449173e-02,2.131530962989871061e-02
4.660837183880191942e-02,2.138710470786588103e-02
4.657539235224315149e-02,2.145884757669019871e-02
4.654230224515289865e-02,2.153053948293776401e-02
4.650911042485628838e-02,2.160218438160124363e-02
4.647580072051935712e-02,2.167377451454426812e-02
4.644235755127157361e-02,2.174530240210342455e-02
4.640882393310241660e-02,2.181678796128593348e-02
4.637519593919287725e-02,2.188822913735010561e-02
4.634143494285741099e-02,2.195960758197422133e-02
4.630753402501750632e-02,2.203091965505174846e-02
4.627353046860641778e-02,2.210218286178581432e-02
4.623946578577755456e-02,2.217341685441933524e-02
4.620530935934544225e-02,2.224460692729418598e-02
4.617101753414482035e-02,2.231573184973111718e-02
4.613657495732604447e-02,2.238678389453272258e-02
4.610204161408117812e-02,2.245779191068550742e-02
4.606741506087253663e-02,2.252875446678851909e-02
4.603265448682210964e-02,2.259965149953754165e-02
4.599777127059734988e-02,2.267048824561389633e-02
4.596280767097197378e-02,2.274128538037050590e-02
4.592778204523731422e-02,2.281205185755290007e-02
4.589261089801208171e-02,2.288274603024888915e-02
4.585730918759874097e-02,2.295337521851429155e-02
4.582193336183192772e-02,2.302396727683510974e-02
4.578642935122876484e-02,2.309449487209290844e-02
4.575081235444054817e-02,2.316496558611326473e-02
4.571511863338981185e-02,2.323539744582983624e-02
4.567927819464231987e-02,2.330575466843918045e-02
4.564330974863076845e-02,2.337604665618227273e-02
4.560726675526250579e-02,2.344630040739625193e-02
4.557109895318477155e-02,2.351648993229181472e-02
4.553481343404321841e-02,2.358661874576983147e-02
4.549844832510319126e-02,2.365670628852433593e-02
4.546198556948553154e-02,2.372674309046605284e-02
4.542540012127450899e-02,2.379671586788722690e-02
4.538868791231111255e-02,2.386662222071080780e-02
4.535189051330127535e-02,2.393648380137422885e-02
4.531499626747564208e-02,2.400629424061515027e-02
4.527797127859915782e-02,2.407603545132759593e-02
4.524083128618387045e-02,2.414571547832302517e-02
4.520360089704141687e-02,2.421534725552505415e-02
4.516628614560609656e-02,2.428493386306708121e-02
4.512884837959648537e-02,2.435445432812604824e-02
4.509129210592466991e-02,2.442391090268137763e-02
4.505363509459630461e-02,2.449331289590905847e-02
4.501584897077900993e-02,2.456264462257180120e-02
4.497795752894775262e-02,2.463191892709203426e-02
4.493998767130592126e-02,2.470115026193864943e-02
4.490188529406002188e-02,2.477030866050392369e-02
4.486368770977263581e-02,2.483941465443037858e-02
4.482543268164980443e-02,2.490848883683540946e-02
4.478700789769160528e-02,2.497746858814852561e-02
4.474846455602275730e-02,2.504638235115048614e-02
4.470989320640137571e-02,2.511528036588687313e-02
4.467119476814944423e-02,2.518410705443657055e-02
4.463233429166476446e-02,2.525284242629841774e-02
4.459335946591144045e-02,2.532151297776128948e-02
4.455435777318163953e-02,2.539016840308442810e-02
4.451524379165753414e-02,2.545875970214967268e-02
4.447592981620333841e-02,2.552723667195008414e-02
4.443657207061085801e-02,2.559568862531619304e-02
4.439713619689853591e-02,2.566409536659726084e-02
4.435753662267855751e-02,2.573240757286779715e-02
4.431788458718373402e-02,2.580068947028049675e-02
4.427813077237881256e-02,2.586891194152055040e-02
4.423819593520698229e-02,2.593702871245441577e-02
4.419819221253037250e-02,2.600510511121927743e-02
4.415812507272685178e-02,2.607314409803177663e-02
4.411794033745811139e-02,2.614111374807211868e-02
4.407763608648959663e-02,2.620901261112748570e-02
4.403721589286732629e-02,2.627684248425658092e-02
4.399669234874493962e-02,2.634461066587767339e-02
4.395609476340727600e-02,2.641233456992164719e-02
4.391538561588978484e-02,2.647999139302055494e-02
4.387452829431292417e-02,2.654755888214158435e-02
4.383357825024703641e-02,2.661507021962547861e-02
4.379256071608626094e-02,2.668254056372738187e-02
4.375145574677548332e-02,2.674995768901518994e-02
4.371020771536597571e-02,2.681728733271459067e-02
4.366883775348886360e-02,2.688454218797237810e-02
4.362739486192841049e-02,2.695175208673187411e-02
4.358587969323402672e-02,2.701891739610035731e-02
4.354425117184957533e-02,2.708601247096674436e-02
4.350247770412275089e-02,2.715301742706194982e-02
4.346059216035988437e-02,2.721995237869221165e-02
4.341862176219779546e-02,2.728683414581077604e-02
4.337656887196114641e-02,2.735366407795604415e-02
4.333440260463292809e-02,2.742042254221389863e-02
4.329211494117246595e-02,2.748710415220645409e-02
4.324972730563764189e-02,2.755372224901234124e-02
4.320727852794387092e-02,2.762030155030587367e-02
4.316469176775823008e-02,2.768679241179357667e-02
4.312199815804748648e-02,2.775321479970279878e-02
4.307951650696793117e-02,2.781977384115368393e-02
4.303680148699050995e-02,2.788618129761694445e-02
4.299350043248390679e-02,2.795220963279998472e-02
4.295032447360285638e-02,2.801831972314517902e-02
4.290739997943411599e-02,2.808459341143382595e-02
4.286442851231379164e-02,2.815083655662298581e-02
4.282111242431158732e-02,2.821685434976499082e-02
4.277760337064956397e-02,2.828274581671929438e-02
4.273413580660008482e-02,2.834866431085196481e-02
4.269060235372698631e-02,2.841453956069105863e-02
4.264682737783174332e-02,2.848025421987817121e-02
4.260280741798114224e-02,2.854580523060912950e-02
4.255887593282381420e-02,2.861141542165023324e-02
4.251502284807150145e-02,2.867707829112058071e-02
4.247103630381272865e-02,2.874265176688105619e-02
4.242674539008655515e-02,2.880801976063178393e-02
4.238224773861597877e-02,2.887324757486184335e-02
