# Forces               
# CofR                 : (0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00)
# Time                 forces(pressure viscous porous)	moments(pressure viscous porous)
0.0873500              	((-2.307539663405958e+00 -1.052593641093622e+02 -1.029216130586890e-17) (-2.741274251437976e+00 3.644220252748642e-02 6.573824403336915e-17) (0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00)) ((-8.233812858299839e-21 -4.431884714594843e-21 6.557248871369459e-02) (5.218236166463802e-20 2.187747437194552e-19 2.027223111507027e-03) (0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00))
0.0873500              	((-2.307538630219254e+00 -1.052593352445266e+02 -8.412935749449937e-18) (-2.741273466918299e+00 3.644218426704290e-02 -1.297212991185446e-16) (0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00)) ((3.382954267825530e-21 -3.019233834127226e-21 6.557246226906897e-02) (-9.735954234762958e-20 -2.370698947358463e-19 2.027222527575829e-03) (0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00))
0.0873500              	((-2.307537907897280e+00 -1.052593273587095e+02 5.299935339989225e-18) (-2.741273121946908e+00 3.644219818381999e-02 -1.819850309723835e-16) (0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00)) ((7.218357400717806e-21 2.372478929523521e-21 6.557245039939340e-02) (-1.322489719142604e-19 -1.092143021350013e-19 2.027222242777771e-03) (0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00))
0.0873500              	((-2.307537907897280e+00 -1.052593273587095e+02 5.299935339989225e-18) (-2.741273121946908e+00 3.644219818381999e-02 -1.819850309723835e-16) (0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00)) ((7.218357400717806e-21 2.372478929523521e-21 6.557245039939340e-02) (-1.322489719142604e-19 -1.092143021350013e-19 2.027222242777771e-03) (0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00))
0.0874000              	((-2.308841760149349e+00 -1.052622939644126e+02 -9.369793395957499e-18) (-2.740609231113872e+00 3.644377190070773e-02 1.159568195915017e-16) (0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00)) ((-1.398204033360021e-20 -1.564622730962918e-21 6.558511332658654e-02) (8.573900589854144e-20 8.355587762928384e-20 2.026739631823357e-03) (0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00))
0.0874000              	((-2.308821585475969e+00 -1.052614307627709e+02 2.551678933198796e-18) (-2.740592023998901e+00 3.644358585639208e-02 -1.694508383293079e-16) (0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00)) ((-7.567237466717805e-22 1.744421657483531e-21 6.558471394519702e-02) (-1.228912918236473e-19 -1.110239878084250e-19 2.026726670945059e-03) (0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00))
0.0874000              	((-2.308905005856595e+00 -1.052651612937557e+02 -4.375281293297004e-18) (-2.740662621187242e+00 3.644683120909708e-02 -5.142771692422656e-17) (0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00)) ((5.801007560623008e-21 -1.874360467912596e-21 6.558714205475476e-02) (-3.486294340508512e-20 4.605544824179244e-20 2.026778897521159e-03) (0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00))
0.0874000              	((-2.308839051493980e+00 -1.052628581848960e+02 1.269264647752039e-19) (-2.740623767599829e+00 3.644612852506160e-02 1.519828617756226e-16) (0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00)) ((3.905124507893764e-21 7.646665821463921e-23 6.558588407129468e-02) (1.125677532297700e-19 9.990916121068691e-20 2.026749681163853e-03) (0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00))
0.0874000              	((-2.308838845812627e+00 -1.052626483159705e+02 -2.314245950223840e-18) (-2.740618729135986e+00 3.644587579327055e-02 -2.955214776374537e-17) (0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00)) ((2.373596907662575e-22 1.994404899130375e-23 6.558580945915675e-02) (-1.791918195743066e-20 1.220675085282677e-19 2.026745878972587e-03) (0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00))
0.0874000              	((-2.308839873043719e+00 -1.052626897460671e+02 6.543238559098878e-19) (-2.740619438853936e+00 3.644585624827573e-02 6.626487196843532e-17) (0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00)) ((1.108958730702676e-20 1.958437678997136e-22 6.558583022416370e-02) (5.067480567419511e-20 1.261176286230769e-19 2.026746414837875e-03) (0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00))
0.0874000              	((-2.308839873043719e+00 -1.052626897460671e+02 6.543238559098878e-19) (-2.740619438853936e+00 3.644585624827573e-02 6.626487196843532e-17) (0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00)) ((1.108958730702676e-20 1.958437678997136e-22 6.558583022416370e-02) (5.067480567419511e-20 1.261176286230769e-19 2.026746414837875e-03) (0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00))
0.0874500              	((-2.310142148359228e+00 -1.052660555671547e+02 -2.788775398098459e-18) (-2.739966183147403e+00 3.644960733623368e-02 -1.191071280660017e-16) (0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00)) ((-7.277896119673178e-21 -1.955291498075842e-23 6.559920743215426e-02) (-8.668407147274118e-20 -1.270851338777836e-20 2.026270943135291e-03) (0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00))
