Time F_xx F_xy F_xz F_yx F_yy F_yz F_zx F_zy F_zz sigma_xx sigma_yy sigma_zz sigma_xy sigma_yz sigma_zx meanLamellarSpacing mean_eq_strain_ferr mean_eq_strain_cem
15.720999999999991 1.1667016790801799 -0.0420632739294754 0.0177493158042825 0.005674446277306471 0.926506330488595 0.0010941439004643143 -0.0024452650034415876 -0.0005558542519626826 0.925413169018676 829742987.3130194 -359344386.6002786 -186646876.99077606 -82830114.63062072 67078752.413789555 67078752.413789555 79.90566627119927 0.16564396965936867 0.0886732456395841
15.919999999999991 1.1673724031236 -0.042084595575008 0.0177630601736 0.00633778274352997 0.9260143430264001 0.0013794708361050273 -0.002730508210411987 -0.00022594996283602686 0.9254881339815201 866635121.866804 -367432811.29274493 -138154638.17780396 -27640475.774815973 103174597.25495392 103174597.25495392 79.90659566137376 0.16615792440074237 0.08887437162375791
16.118999999999993 1.1673615826522499 -0.042003248301149106 0.0177268460771694 0.006480208956828907 0.925827278532639 0.0016202597792101424 -0.0027726625466000243 1.4004598369545289e-05 0.925716732731258 856904029.8600839 -381554884.65023553 -93820108.74260925 -9912495.093942044 138593645.50620103 138593645.50620103 79.90732298036264 0.1662609524663564 0.08890489162892547
16.317999999999994 1.1668925809944999 -0.0418528799050102 0.0176570464575468 0.006272443403455806 0.925845204269758 0.001831107214728294 -0.002651395793186443 0.00019348875425000665 0.926048614699076 790835966.7871238 -383882133.873546 -43124798.79101631 -12694309.953267993 171637595.03292623 171637595.03292623 79.9081850938909 0.1662609524663564 0.08890495043731254
16.516999999999996 1.16642357933675 -0.041702511508871304 0.017587246837924203 0.006064677850082704 0.925863130006877 0.0020419546502464456 -0.0025301290397728624 0.00037297291013046807 0.9263804966668939 724710007.436998 -386244551.4388658 7507561.938641281 -15470641.698947318 204666738.72287884 204666738.72287884 79.90898612715087 0.1662609524663564 0.08890511485212345
16.715999999999998 1.1659545776790001 -0.0415521431127324 0.0175174472183016 0.005856912296709602 0.925881055743996 0.0022528020857645976 -0.0024088622863592812 0.0005524570660109294 0.926712378634712 658407053.8883733 -388460351.866533 58012924.145073764 -18207846.34801634 237500095.31642187 237500095.31642187 79.90976408162634 0.16626278997248845 0.08890542513136232
16.915 1.1654855760212501 -0.0414017747165935 0.017447647598679002 0.005649146743336501 0.925898981481115 0.0024636495212827492 -0.0022875955329457005 0.0007319412218913907 0.92704426060253 591714201.0878724 -389983018.1654782 108050627.3717624 -20815647.62286603 269695199.91800827 269695199.91800827 79.91044880990118 0.16627183095227835 0.08890588209991977
17.114 1.16542743309608 -0.040988450074277 0.0172601170960176 0.005249482044112198 0.925806801992438 0.0026135359229833804 -0.002110221652697619 0.0008614445880057844 0.927197185067678 580671239.6968414 -403453550.9860305 129759753.97921477 -12812303.959504748 290192413.1165437 290192413.1165437 79.91024436125079 0.1663163070969469 0.0889090612544288
17.313000000000002 1.16567563220836 -0.04037906156419649 0.016984804794599198 0.004706734648419893 0.9256325265020711 0.0027179689222762114 -0.0018910135112132874 0.0009536815757858291 0.927216676307151 607195726.2165117 -419830397.89291674 128584155.17546412 3281761.0894132066 298228057.02689844 298228057.02689844 79.90921775221538 0.16643777046453248 0.08892196492932791
17.512000000000004 1.16592383132064 -0.03976967305411599 0.016709492493180794 0.004163987252727589 0.925458251011704 0.002822401921569042 -0.0016718053697289555 0.001045918563565874 0.927236167546624 627801895.913174 -428087508.2123896 125494702.16262141 19308361.599361636 300759390.48428386 300759390.48428386 79.90789800683223 0.16663173898645467 0.08894012307109375
17.711000000000006 1.16617203043292 -0.03916028454403548 0.016434180191762394 0.003621239857035285 0.925283975521337 0.002926834920861873 -0.0014525972282446239 0.0011381555513459186 0.927255658786097 645209617.754398 -432609861.6814364 122175195.21739605 34684968.94750039 301167583.1463766 301167583.1463766 79.90643401623534 0.16685711250916907 0.08896467455073882
17.910000000000007 1.1664202295452 -0.03855089603395497 0.01615886789034399 0.0030784924613429803 0.92510970003097 0.003031267920154704 -0.001233389086760292 0.0012303925391259633 0.92727515002557 659931290.6433353 -434362095.02493316 119082425.73364353 49287645.836247995 300096092.00996864 300096092.00996864 79.9050491882474 0.16710614480122798 0.0890010650475277
18.10900000000001 1.1663136180116198 -0.03805529156941938 0.015951598514127394 0.002721163490106791 0.92512271792966 0.0030610201893763087 -0.0011044105087135696 0.0012521197846843484 0.92737287938129 646135542.1407412 -431310642.558427 135705842.3704078 65999120.10020544 304102195.1529843 304102195.1529843 79.90586355975566 0.16711946848344325 0.08900354518416331
18.30800000000001 1.16591404355944 -0.037653637234232776 0.015800511369728792 0.0025169323005315896 0.92529038174592 0.0030291094704657183 -0.0010499334050648613 0.0012156279770321981 0.92753520901648 593830193.4525273 -404022900.20569384 163061306.3803383 84494950.15281592 298756958.2981641 298756958.2981641 79.90797847064856 0.16711946848344325 0.08900354518416331
18.507000000000012 1.1655144691072599 -0.037251982899046174 0.01564942422533019 0.0023127011109563876 0.92545804556218 0.002997198751555128 -0.0009954563014161527 0.0011791361693800479 0.92769753865167 541529302.43748 -376740900.5191394 190409468.45590332 103016165.55568962 293414041.2856877 293414041.2856877 79.91005165478082 0.16711946848344325 0.08900354518416331
18.706000000000014 1.16511489465508 -0.03685032856385957 0.01549833708093159 0.002108469921381186 0.92562570937844 0.0029652880326445376 -0.0009409791977674443 0.0011426443617278976 0.9278598682868601 489232350.9919056 -349464882.51153684 217750259.34978423 121562652.0366861 288073446.4131614 288073446.4131614 79.91212831321225 0.16711946848344325 0.08900354518416331
18.905000000000015 1.1647153202029001 -0.03644867422867297 0.015347249936532989 0.0019042387318059842 0.9257933731947 0.0029333773137339477 -0.0008865020941187358 0.0011061525540757473 0.92802219792205 436939323.9377835 -322194906.1339566 245083650.74724388 140134431.04026267 282735178.1049947 282735178.1049947 79.9142126106359 0.16711946848344325 0.08900354518416331
19.104000000000017 1.16435461772464 -0.03607628237516077 0.015190206145906387 0.001511239532438832 0.926006330218712 0.0028610997207610305 -0.0007280101883832824 0.001032460567548095 0.928115574859192 389876809.2027995 -288353000.68394184 260818818.37363553 143852008.335126 271445998.4239939 271445998.4239939 79.91614985934149 0.16711946848344325 0.08900354518416331
19.30300000000002 1.16402942329948 -0.035730620673178067 0.015027721188052285 0.0009458080164348572 0.926260660845959 0.00275194854090427 -0.00047450476151092934 0.000924787648393793 0.928145966158694 347622709.2950116 -248465190.37564078 265990752.88386428 134013231.1875593 254711852.40068725 254711852.40068725 79.91799932164082 0.16711946848344325 0.08900354518416331
19.50200000000002 1.16370422887432 -0.03538495897119537 0.014865236230198184 0.0003803765004308825 0.926514991473206 0.002642797361047509 -0.00022099933463857633 0.0008171147292394911 0.928176357458196 305409436.0501216 -208523808.02969226 271197696.8000577 124213004.02078685 237966582.44108775 237966582.44108775 79.9198524148994 0.16711946848344325 0.08900354518416331
19.701000000000022 1.16337903444916 -0.03503929726921266 0.014702751272344081 -0.00018505501557309202 0.926769322100453 0.002533646181190748 3.2506092233776786e-05 0.0007094418100851891 0.928206748757698 263237042.13126448 -168528932.03148276 276439634.4347409 114451309.6654549 221210206.97492284 221210206.97492284 79.92170576490793 0.16711946848344325 0.08900354518416331
19.900000000000023 1.1630538400239998 -0.034693635567229965 0.01454026631448998 -0.0007504865315770667 0.9270236527276999 0.002424495001333987 0.0002860115191061298 0.0006017688909308874 0.9282371400572 221105578.16544592 -128480612.46601287 281716554.1383694 104728159.96031974 204442747.62210914 204442747.62210914 79.92355916746322 0.16711946848344325 0.08900354518416331
20.099000000000025 1.16287432597687 -0.03454140340772491 0.014469043145059202 -0.0010316697591040693 0.927176899980434 0.002346975108233204 0.00041563879798651256 0.0005255601429485654 0.928219584437814 195313687.67345673 -106593677.57539272 276448700.4491019 98242432.974369 192298257.37083286 192298257.37083286 79.92398276743009 0.16711946848344325 0.08900354518416331
