(
(59    (1.0176555640951308 -0.007163680769400542 -0.004659955139904213 0.037942323384665064 0.9905322793074568 -0.00013676954859327244 0.02842812905660907 -0.0012420946459318065 0.9916454933668476))
(60    (1.018548698643797 -0.00705730573877691 -0.004550037611990571 0.03893504469016707 0.9900672826642973 -0.0001798883812691753 0.02917825882734978 -0.0013157505893049448 0.9912382925857814))
(61    (1.0194428096110335 -0.006950899539126101 -0.004440076150860106 0.03992816551206971 0.9896026095713792 -0.00022286221146285446 0.029928685091447194 -0.0013892643619417583 0.9908313431314938))
(62    (1.0203378979260624 -0.006844462090153537 -0.004330070672887678 0.04092168662453428 0.9891382599045742 -0.0002656910723180705 0.03067940843381929 -0.0014626360207781097 0.9904246449245948))
(63    (1.02123396451907 -0.006737993311515445 -0.0042200210943882785 0.041915608802264935 0.9886742335398929 -0.0003083749968770668 0.031430429439790096 -0.0015358656226577552 0.9900181978857926))
(64    (1.022131010321207 -0.006631493122818777 -0.004109927331616952 0.042909932820509374 0.9882105303534854 -0.0003509140180805606 0.03218174869509017 -0.0016089532243323543 0.9896120019358922))
(65    (1.0230290362645902 -0.0065249614436211625 -0.003999789300768722 0.04390465945505952 0.9877471502216412 -0.00039330816876773474 0.03293336678585717 -0.0016818988824614826 0.9892060569957967))
(66    (1.0239280432823035 -0.006418398193430817 -0.0038896069179785164 0.04489978948225222 0.9872840930207892 -0.000435557481676228 0.03368528429863634 -0.0017547026536126392 0.9888003629865061))
(67    (1.024828032308398 -0.006311803291706484 -0.003779380099321095 0.04589532367896992 0.9868213586274975 -0.0004776619894421264 0.03443750182038105 -0.0018273645942612578 0.988394919829118))
(68    (1.0257290042778942 -0.0062051766578573656 -0.0036691087608109693 0.04689126282264139 0.9863589469184738 -0.0005196217245999546 0.03519001993845332 -0.0018998847607907172 0.9879897274448274))
(69    (1.0266309601267813 -0.006098518211243047 -0.0035587928184023306 0.047887607691242395 0.9858968577705647 -0.0005614367195826659 0.035942839240624316 -0.0019722632094923507 0.9875847857549268))
(70    (1.0275339007920201 -0.005991827871173432 -0.0034484321879889738 0.04888435906329639 0.9854350910607562 -0.0006031070067216339 0.03669596031507491 -0.0020444999965654547 0.9871800946808059))
(71    (1.0284378272115424 -0.005885105556908671 -0.003338026785404221 0.04988151771787523 0.9849736466661733 -0.000644632618246642 0.037449383750396185 -0.002116595178117301 0.986775654143952))
(72    (1.0293427403242528 -0.005778351187659094 -0.0032275765264208507 0.05087908443459987 0.9845125244640808 -0.0006860135862858759 0.038203110135589975 -0.002188548810163146 0.98637146406595))
(73    (1.0302486410700284 -0.0056715646825851364 -0.0031170813267510154 0.051877059993640985 0.9840517243318823 -0.0007272499428659125 0.038957140060069353 -0.0022603609486262378 0.9859675243684816))
(74    (1.0311555303897226 -0.0055647459607972745 -0.003006541102046173 0.05287544517571982 0.9835912461471208 -0.0007683417199117112 0.03971147411365921 -0.00233203164933783 0.9855638349733266))
(75    (1.0320634092251624 -0.00545789494135595 -0.0028959557678970046 0.05387424076210874 0.9831310897874782 -0.0008092889492466042 0.04046611288659673 -0.0024035609680371876 0.9851603958023618))
(76    (1.0326577418272733 -0.005458673994637962 -0.0028851375763974526 0.05405452965920104 0.982853793277217 -0.0007750303193733971 0.040610235730894215 -0.002371931015775832 0.9848702328872505))
(77    (1.0332524185809993 -0.005459453769626172 -0.0028743167560560836 0.05423488468713413 0.9825765756301682 -0.0007407894637122426 0.040754410860572965 -0.0023403194334336705 0.984580158022878))
(78    (1.0338474396851296 -0.0054602342667363565 -0.002863493304266468 0.054415305893897356 0.9822994368233904 -0.0007065663737141248 0.0408986383138627 -0.0023087262131992613 0.9842901711831853))
(79    (1.0344428053385735 -0.005461015486424891 -0.002852667218442449 0.054595793327465426 0.9820223768339552 -0.000672361040804218 0.04104291812899023 -0.0022771513472356003 0.984000272342107))
(80    (1.0350385157403559 -0.005461797429148372 -0.0028418384959966983 0.05477634703583836 0.9817453956389409 -0.0006381734564105344 0.04118725034420244 -0.0022455948277087987 0.9837104614735861))
(81    (1.0356345710896169 -0.005462580095363614 -0.0028310071343407017 0.05495696706704143 0.9814684932154325 -0.0006040036119639218 0.041331634997766216 -0.002214056646788076 0.9834207385515739))
(82    (1.0362309715856113 -0.005463363485527648 -0.0028201731308847696 0.055137653469125164 0.9811916695405211 -0.0005698514988980637 0.04147607212796857 -0.002182536796645766 0.98313110355003))
(83    (1.0368277174277094 -0.005464147600097728 -0.00280933648303803 0.05531840629016544 0.9809149245913051 -0.0005357171086494768 0.04162056177311654 -0.002151035269457311 0.9828415564429223))
(84    (1.0374248088153966 -0.005464932439531326 -0.0027984971882084294 0.055499225578263416 0.9806382583448892 -0.0005016004326575098 0.0417651039715373 -0.00211955205740126 0.9825520972042269))
(85    (1.0380222459482742 -0.005465718004286134 -0.0027876552438027336 0.05568011138154558 0.9803616707783845 -0.00046750146236434326 0.04190969876157809 -0.0020880871526592734 0.9822627258079285))
(86    (1.0386200290260577 -0.005466504294820064 -0.0027768106472265248 0.05586106374816378 0.9800851618689093 -0.00043342018921498646 0.042054346181606285 -0.0020566405474161144 0.9819734422280199))
(87    (1.0392181582485798 -0.005467291311591246 -0.0027659633958842015 0.05604208272629523 0.979808731593588 -0.00039935660465727777 0.04219904627000939 -0.002025212233859654 0.9816842464385022))
(88    (1.0398166338157875 -0.005468079055058037 -0.0027551134871789786 0.05622316836414253 0.9795323799295519 -0.00036531070014188255 0.042343799065195045 -0.0019938022041808673 0.9813951384133852))
(89    (1.0404154559277436 -0.0054688675256790035 -0.0027442609185128843 0.05640432070993362 0.9792561068539386 -0.0003312824671222915 0.042488604605591035 -0.001962410450573831 0.9811061181266864))
